id,sales_note,label
1,Request to modify packaging dimensions before shipment,Custom Spec
2,inventory outage pls expedite shipping if possible,Urgent Need
3,Exploring samples for a new product line.,New Product Demand
4,Interest shown in 2025x prototype by client,New Product Demand
5,Firstorder placed for updated product variant.,New Product Demand
6,backorders increasing need quick replenishment,Stocking Issue
7,client needs same order as last month for product 450X,Repeat Order
8,Demo units requested to evaluate updated models ASAP,New Product Demand
9,inventory outage pls expedite shipping if possible,Urgent Need
10,Stockout reported for Model X1.,Stocking Issue
11,Need emergency stock replenishment by Friday.,Urgent Need
12,"Requesting rush shipping, shortage reported.",Urgent Need
13,"Another batch required urgently, same spec as previous",Repeat Order
14,custom size requested for container 560Z special handling needed,Custom Spec
15,Request for custom color matching on containers.,Custom Spec
16,Need 300 more of the units ordered last month.,Repeat Order
17,"Another batch required urgently, same spec as previous",Repeat Order
18,customsize requested for container 560Z special handling needed,Custom Spec
19,Specification change: needs reinforced packaging.,Custom Spec
20,trial samples needed for our new eco friendly line,New Product Demand
21,backorders increasing need quick replenishment,Stocking Issue
22,client needs same order as last month for product 450X,Repeat Order
23,Need urgent delivery due to market launch next week.,Urgent Need
24,"Deliveryneeded immediately, client facing outage.",Urgent Need
25,"Delivery needed immediately, client facing outage.",Urgent Need
26,needs reinforced handles on boxes for safety reason,Custom Spec
27,Customized dimension required for part 780Y.,Custom Spec
28,They are requesting a repeat of the previous order.,Repeat Order
29,inventory outage pls expedite shipping if possible,Urgent Need
30,They are requesting a repeat of the previous order.,Repeat Order
31,Client wants another batch of 1000 units like last time.,Repeat Order
32,"Another batch required urgently, same spec as previous",Repeat Order
33,interest shown in 2025X prototype by client,New Product Demand
34,"Warehouse backorder increasing, please resupply.",Stocking Issue
35,demo units requested to evaluate updated models,New Product Demand
36,trial samples needed for our new eco friendly line,New Product Demand
37,Need 300 more of the units ordered last month.,Repeat Order
38,Need urgent delivery due to market launch next week.,Urgent Need
39,critical shortage reported need shipment by next week,Urgent Need
40,Repeat purchase request for Model 500Y,Repeat Order
41,Rush request for product A45 due to customer escalation ASAP,Urgent Need
42,trial samples needed for our new eco friendly line ASAP,New Product Demand
43,Criticalshortage reported need shipment by next week,Urgent Need
44,Need urgent delivery due to market launch next week.,Urgent Need
45,custom size requested for container 560Z special handling needed,Custom Spec
46,custom size requested for container 560Z special handling needed,Custom Spec
47,custom size requested for container 560Z special handling needed,Custom Spec
48,"Requesting rush shipping, shortage reported.",Urgent Need
49,Client wants another batch of 1000 units like last time.,Repeat Order
50,"Backorders causing delays, need resupply ASAP.",Stocking Issue
51,Need 300 more of the units ordered last month.,Repeat Order
52,Wants special coating on the exterior.,Custom Spec
53,"Another batch required urgently, same spec as previous",Repeat Order
54,Customized dimension required for part 780Y. ASAP,Custom Spec
